,ticker,change,change_percent,day_open,day_high,day_low,day_close,day_volume,day_vwap,last_trade_conditions,last_trade_id,last_trade_price,last_trade_size,last_trade_exchange,last_trade_timestamp,min_open,min_high,min_low,min_close,min_volume,prev_open,prev_high,prev_low,prev_close,prev_volume,prev_vwap
192,X:CROUSD,-0.000899999999999998,-1.4018691588785017,0.0642,0.0643,0.0629,0.0633,3417729.900000004,0.06339,[1],21918616,0.0633,155.6,1.0,1684276983077,0.0633,0.0633,0.0633,0.0633,155.6,0.0642,0.0648,0.0632,0.0642,5363862.2000000235,0.0642
193,X:TRXUSD,0.00026099999999999735,0.3715090955675084,0.070324,0.070801,0.069981,0.070515,7564561.297136255,0.07047,[1],04d89b48-97cc-4cff-a041-185a56c30988,0.070515,434.6625,23.0,1684276960668,0.070528,0.070528,0.070515,0.070515,792.959712,0.069387,0.07066,0.06915,0.070254,4913613.897778172,0.0701
194,X:REQUSD,0.0005000000000000004,0.5662514156285395,0.0885,0.0901,0.0878,0.0888,225738.45112965,0.08905,[2],10232831,0.0888,255.0,1.0,1684276003492,0.0889,0.0889,0.0888,0.0888,1941.0,0.0892,0.0904,0.0882,0.0883,242428.84783417,0.0894
195,X:XRDUSD,0.0026760000000000117,3.5740520614908067,0.074873,0.08037,0.074851,0.077549,1800555.0606671723,0.07851,[1],1365899759,0.077549,88.49238427,2.0,1684277030144,0.077585,0.077585,0.077549,0.077549,2152.03977154,0.072725,0.080069,0.0712,0.074873,2042331.684882141,0.0757
196,X:VETUSD,7.000000000000062e-06,0.03595644133963459,0.01949,0.019793,0.019276,0.019475,1550555.0402748757,0.01952,[1],1365933308,0.019475,893.0,2.0,1684276803210,0.019475,0.019475,0.019475,0.019475,1786.0,0.019225,0.019676,0.019016,0.019468,1462039.1374937203,0.0195
197,X:WBTCUSD,-189.36000000000058,-0.6957615715922364,27185.51,27579.4,26601.5,27026.86,1.0003041,27039.588,[1],1549169,27026.86,3.682e-05,1.0,1684276123176,27026.86,27026.86,27026.86,27026.86,3.682e-05,26962.3,27699.8,26762.94,27216.22,3.3817402200000153,27078.6468
198,X:QTMUSD,0.01739999999999986,0.6619493266377485,2.5904,2.6643,2.4879,2.646,3271.54680452,2.5856,[2],1363431987,2.646,86.56601457,2.0,1683746382371,2.5901,2.5901,2.5901,2.5901,12.0,2.5615,2.6332,2.5615,2.6286,78.52297826,2.6277
199,X:EDOUSD,0.017979999999999996,14.941000498587332,0.12116,0.14736,0.12,0.13832,132019.39647046,0.1433,[1],1365912962,0.13832,15.09999999,2.0,1684276194800,0.13832,0.13832,0.13832,0.13832,30.19999998,0.12301,0.12544,0.12013,0.12034,1971.33068259,0.1225
200,X:DAIUSD,-9.999999999998899e-05,-0.009999999999998899,0.9999,1.02746,0.97511,0.9999,2102481.6936803563,1.0001,[2],21502791,0.9999,8.87,1.0,1684277017737,0.9999,0.9999,0.9999,0.9999,8.87,0.99987,1.0048,0.9981,1.0,1664171.9757235858,1.0
201,X:UOSUSD,0.0007900000000000129,0.3814950743674005,0.2078,0.20881,0.20682,0.20787,35738.54514544,0.2071,[1],1365927296,0.20787,8.32003607,2.0,1684276752373,0.20787,0.20787,0.20774,0.20787,60.0,0.2072,0.20923,0.20681,0.20708,54721.40577481997,0.2077
202,X:MLNUSD,0.3000000000000007,1.6420361247947495,18.25,18.98,17.718,18.57,2058.84558374,18.7564,[2],5445065,18.57,0.019,1.0,1684276745540,18.57,18.57,18.57,18.57,0.019,18.23,18.894,17.907,18.27,1316.2911209000017,18.531
203,X:DUSKUSD,0.0016599999999999948,1.1510990916025203,0.14392,0.14618,0.14145,0.14587,93858.23130806,0.1444,[2],1365923638,0.14587,26.70159183,2.0,1684276402897,0.14587,0.14587,0.14587,0.14587,53.40318366,0.14095,0.14487,0.13858,0.14421,41101.46888003001,0.1422
204,X:SKLUSD,0.00010000000000000286,0.3115264797507878,0.0322,0.0326,0.0316,0.0322,6735057.70401863,0.03215,[2],14204209,0.0322,17796.2,1.0,1684277035516,0.0322,0.0322,0.0322,0.0322,24826.9,0.0319,0.0329,0.0314,0.0321,10186009.599999988,0.0324
205,X:KNCUSD,-0.0043999999999999595,-0.7246376811594137,0.60722,0.6101,0.59766,0.6028,91981.52889189,0.6024,[2],13836436,0.6028,5.9,1.0,1684276950586,0.6028,0.6028,0.6028,0.6028,5.9,0.601,0.61579,0.5937,0.6072,88139.37140338993,0.6086
206,X:KSMUSD,0.16999999999999815,0.6630265210608352,25.67,27.65,25.33,25.81,10661.45341126,25.6696,[1],a07474b2-e173-4153-8b60-32c31c52e14f,25.81,0.2,23.0,1684277006986,25.81,25.81,25.81,25.81,0.2,25.44,26.052,25.09,25.64,6077.3130138499155,25.8445
207,X:ZILUSD,8.700000000000027e-05,0.3605470368835486,0.024186,0.024296,0.02392,0.024217,2472775.564641653,0.02417,[2],1365666962,0.024217,20647.0,2.0,1684224603360,0.024296,0.024296,0.024296,0.024296,190.30214253,0.023854,0.024513,0.023696,0.02413,84067.01124853999,0.0241
208,X:BTCGBP,-65.29999999999927,-0.3008107610097626,21699.0,21810.16,21461.24,21642.7,301.07968938,21641.54,[1],c3112c2c-c364-4b5d-ba99-57b4d578e930,21642.7,0.000315,23.0,1684277007284,21642.7,21642.7,21642.7,21642.7,0.000315,21634.7,22091.69,21476.0,21708.0,331.4705150400011,21874.4635
209,X:LYMUSD,7.82999999999999e-05,4.488906724760643,0.001724,0.0018677,0.0017213,0.0018226,596601.4991600818,0.001791,[1],1365845005,0.0018226,1263.06646758,2.0,1684276347786,0.0018226,0.0018226,0.0018226,0.0018226,2526.13293516,0.0017834,0.0018445,0.0017016,0.0017443,101968.98949335,0.0018
210,X:BTRSTUSD,0.0050000000000000044,0.6587615283267463,0.756,0.772,0.744,0.764,63706.64,0.7545,[2],2114196,0.764,11.76,1.0,1684277020080,0.764,0.764,0.764,0.764,11.76,0.764,0.776,0.75,0.759,27451.259999999987,0.7605
211,X:FLOWUSD,0.0030000000000000027,0.39318479685452196,0.762,0.767,0.75,0.766,284577.288282861,0.7589,[1],1223050,0.766,3.897,1.0,1684277031051,0.766,0.766,0.766,0.766,3.897,0.756,0.779,0.743,0.763,156487.83083496016,0.7643
212,X:FORTHUSD,-0.009999999999999787,-0.3448275862068892,2.91,2.92,2.86,2.89,7243.97781326,2.8915,[2],6741820,2.89,0.101,1.0,1684274977017,2.89,2.89,2.89,2.89,0.101,2.88,2.97,2.86,2.9,17008.841023210014,2.9229
213,X:ENJUSD,0.007999999999999952,2.3668639053254292,0.339,0.346,0.32394,0.346,594364.8778088988,0.3388,[1],10337065,0.346,140.89,1.0,1684277030516,0.346,0.346,0.346,0.346,140.89,0.337,0.345,0.332,0.338,686986.2828858111,0.3401
214,X:SHIBUSD,-4.000000000000131e-08,-0.45506257110354165,8.8e-06,8.86e-06,8.67e-06,8.75e-06,578471004770.2533,8.756e-06,[1],99102693,8.75e-06,17727183.0,1.0,1684277041152,8.75e-06,8.75e-06,8.74e-06,8.75e-06,32949105.0,8.78e-06,8.92e-06,8.66e-06,8.79e-06,566685113884.1143,0.0
215,X:PERPUSD,0.0025000000000000577,0.40368157597288196,0.6191,0.6261,0.6084,0.6218,129695.87717378,0.6171,[2],2118512,0.6218,71.895,1.0,1684276052618,0.6226,0.6226,0.6218,0.6218,204.456,0.6048,0.6254,0.6003,0.6193,227140.93052752985,0.6162
216,X:SUKUUSD,0.0003999999999999976,0.6700167504187564,0.0599,0.06131,0.05711,0.0601,315625.5885181607,0.05955,[1],3530461,0.0601,82.8,1.0,1684276607400,0.0601,0.0601,0.0601,0.0601,82.8,0.0593,0.0601,0.0589,0.0597,263033.1526958504,0.0598
