,ticker,change,change_percent,day_open,day_high,day_low,day_close,day_volume,day_vwap,ask,bid,timestamp,exchange,min_open,min_high,min_low,min_close,min_volume,prev_open,prev_high,prev_low,prev_close,prev_volume,prev_vwap
47,C:BSDUSD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.9939525,0.9939525,0.9939525,0.9939525,1,0.994
48,C:GBPCZK,-0.04520000000000124,-0.16362287100219458,27.5652,27.5888,27.5652,27.5793,17,27.5769,27.8796,27.5793,1686512801000,48,27.5793,27.5793,27.5793,27.5793,1,27.4679,27.7304,27.4571,27.6245,38997,27.5779
49,C:THBUSD,1.5020000000001005e-05,0.0519992355904683,0.02890006,0.02890006,0.02890006,0.02890006,1,0.0289,0.02893686,0.02890006,1686510300000,48,0.02890006,0.02890006,0.02890006,0.02890006,1,0.02886669,0.02894356,0.02861067,0.02888504,1278,0.0289
50,C:NOKRUB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,7.690225,7.690225,7.690225,7.690225,1,7.6902
51,C:AUDFJD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.4881919,1.4881919,1.4881919,1.4881919,1,1.4882
52,C:ZARCOP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,220.59569,220.59569,220.59569,220.59569,1,220.5957
53,C:SEKGBP,-0.00028058999999999723,-0.3823403689102832,0.07295489,0.07326437,0.07287408,0.0731069,12,0.0731,0.07371098,0.0731069,1686512773000,48,0.0731069,0.0731069,0.0731069,0.0731069,1,0.073672,0.073827,0.07333959,0.07338749,53475,0.0735
54,C:ILSSEK,0.0047519999999998674,0.15789164154476862,3.017768,3.017768,3.009659,3.014411,22,3.0133,3.020102,3.014411,1686512831000,48,3.014411,3.014411,3.014411,3.014411,1,3.017768,3.017768,3.009659,3.009659,5,3.0137
55,C:ARSHKD,-3.668000000000421e-05,-0.11437259398166987,0.03204398,0.03204485,0.0320306,0.03203394,31,0.03204,0.03205344,0.03203394,1686512843000,48,0.03203394,0.03203394,0.03203394,0.03203394,1,0.03202767,0.03207062,0.03202767,0.03207062,2,0.032
56,C:USDBAM,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.80744,1.80744,1.80744,1.80744,1,1.8074
