,operationId,auctionStatus,operationDate,settlementDate,maturityDate,operationType,operationMethod,settlementType,termCalenderDays,term,releaseTime,closeTime,note,lastUpdated,participatingCpty,acceptedCpty,totalAmtSubmitted,totalAmtAccepted
47,RP 051723 1,Results,2023-05-17,2023-05-17,2023-05-18,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-17 13:15:48,103.0,103.0,2213676000000,2213676000000
48,RP 051723 2,Results,2023-05-17,2023-05-17,2023-05-18,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-17 13:45:57,,,6000000,6000000
49,RP 051623 1,Results,2023-05-16,2023-05-16,2023-05-17,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-16 13:16:00,101.0,101.0,2203214000000,2203214000000
50,RP 051623 2,Results,2023-05-16,2023-05-16,2023-05-17,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-16 13:45:55,,,7000000,7000000
51,RP 051523 1,Results,2023-05-15,2023-05-15,2023-05-16,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-15 13:15:48,103.0,103.0,2220927000000,2220927000000
52,RP 051523 2,Results,2023-05-15,2023-05-15,2023-05-16,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-15 13:46:01,,,3000000,3000000
53,RP 051223 1,Results,2023-05-12,2023-05-12,2023-05-15,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-05-12 13:15:54,100.0,100.0,2229199000000,2229199000000
54,RP 051223 2,Results,2023-05-12,2023-05-12,2023-05-15,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-05-12 13:45:44,,,0,0
55,RP 051123 1,Results,2023-05-11,2023-05-11,2023-05-12,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-11 13:15:53,102.0,102.0,2242243000000,2242243000000
56,RP 051123 2,Results,2023-05-11,2023-05-11,2023-05-12,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-12 09:29:30,,,0,0
57,RP 051023 1,Results,2023-05-10,2023-05-10,2023-05-11,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-10 13:15:33,104.0,104.0,2233149000000,2233149000000
58,RP 051023 2,Results,2023-05-10,2023-05-10,2023-05-11,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-10 13:45:31,,,25000000,25000000
59,RP 050923 1,Results,2023-05-09,2023-05-09,2023-05-10,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-09 13:15:46,100.0,100.0,2222864000000,2222864000000
60,RP 050923 2,Results,2023-05-09,2023-05-09,2023-05-10,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-09 13:45:48,,,20000000,20000000
61,RP 050823 1,Results,2023-05-08,2023-05-08,2023-05-09,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-08 13:16:00,104.0,104.0,2217601000000,2217601000000
62,RP 050823 2,Results,2023-05-08,2023-05-08,2023-05-09,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-08 13:45:47,,,3000000,3000000
63,RP 050523 1,Results,2023-05-05,2023-05-05,2023-05-08,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-05-05 13:15:52,101.0,101.0,2207415000000,2207415000000
64,RP 050523 2,Results,2023-05-05,2023-05-05,2023-05-08,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-05-05 13:45:44,,,1000000,1000000
65,RP 050423 1,Results,2023-05-04,2023-05-04,2023-05-05,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-04 13:15:51,101.0,101.0,2242399000000,2242399000000
66,RP 050423 2,Results,2023-05-04,2023-05-04,2023-05-05,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-04 13:46:12,,,13000000,13000000
67,RP 050323 1,Results,2023-05-03,2023-05-03,2023-05-04,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-03 13:16:25,102.0,102.0,2258222000000,2258222000000
68,RP 050323 2,Results,2023-05-03,2023-05-03,2023-05-04,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-03 13:45:42,,,0,0
69,RP 050223 1,Results,2023-05-02,2023-05-02,2023-05-03,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-02 13:15:58,102.0,102.0,2267130000000,2267130000000
70,RP 050223 2,Results,2023-05-02,2023-05-02,2023-05-03,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-02 13:45:40,,,1000000,1000000
71,RP 050123 1,Results,2023-05-01,2023-05-01,2023-05-02,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-01 13:15:59,103.0,103.0,2239866000000,2239866000000
72,RP 050123 2,Results,2023-05-01,2023-05-01,2023-05-02,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-01 13:45:41,,,0,0
73,RP 042823 1,Results,2023-04-28,2023-04-28,2023-05-01,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-04-28 13:15:51,108.0,108.0,2325479000000,2325479000000
74,RP 042823 2,Results,2023-04-28,2023-04-28,2023-05-01,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-04-28 13:45:40,,,0,0
75,RP 042723 1,Results,2023-04-27,2023-04-27,2023-04-28,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-27 13:15:58,101.0,101.0,2273926000000,2273926000000
76,RP 042723 2,Results,2023-04-27,2023-04-27,2023-04-28,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-27 13:45:49,,,0,0
77,RP 042623 1,Results,2023-04-26,2023-04-26,2023-04-27,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-26 13:16:07,97.0,97.0,2279561000000,2279561000000
78,RP 042623 2,Results,2023-04-26,2023-04-26,2023-04-27,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-26 13:45:46,,,0,0
79,RP 042523 1,Results,2023-04-25,2023-04-25,2023-04-26,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-25 13:16:33,100.0,100.0,2275402000000,2275402000000
80,RP 042523 2,Results,2023-04-25,2023-04-25,2023-04-26,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-25 13:45:53,,,0,0
81,RP 042423 1,Results,2023-04-24,2023-04-24,2023-04-25,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-24 13:16:01,103.0,103.0,2308538000000,2308538000000
82,RP 042423 2,Results,2023-04-24,2023-04-24,2023-04-25,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-24 13:45:45,,,0,0
83,RP 042123 1,Results,2023-04-21,2023-04-21,2023-04-24,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-04-21 13:15:49,105.0,105.0,2290023000000,2290023000000
84,RP 042123 2,Results,2023-04-21,2023-04-21,2023-04-24,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-04-21 13:45:31,,,0,0
85,RP 042023 1,Results,2023-04-20,2023-04-20,2023-04-21,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-20 13:15:40,103.0,103.0,2277259000000,2277259000000
86,RP 042023 2,Results,2023-04-20,2023-04-20,2023-04-21,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-20 13:45:23,,,0,0
87,RP 041923 1,Results,2023-04-19,2023-04-19,2023-04-20,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-19 13:15:40,110.0,110.0,2294677000000,2294677000000
88,RP 041923 2,Results,2023-04-19,2023-04-19,2023-04-20,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-19 13:45:29,,,0,0
89,RP 041823 1,Results,2023-04-18,2023-04-18,2023-04-19,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-18 13:15:42,106.0,106.0,2238994000000,2238994000000
90,RP 041823 2,Results,2023-04-18,2023-04-18,2023-04-19,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-18 13:45:30,,,0,0
91,RP 041723 1,Results,2023-04-17,2023-04-17,2023-04-18,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-17 13:15:38,102.0,102.0,2256845000000,2256845000000
92,RP 041723 2,Results,2023-04-17,2023-04-17,2023-04-18,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-17 13:45:38,,,0,0
93,RP 041423 1,Results,2023-04-14,2023-04-14,2023-04-17,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-04-14 13:15:58,104.0,104.0,2253786000000,2253786000000
94,RP 041423 2,Results,2023-04-14,2023-04-14,2023-04-17,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-04-14 13:45:53,,,0,0
95,RP 041323 1,Results,2023-04-13,2023-04-13,2023-04-14,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-13 13:15:56,101.0,101.0,2321699000000,2321699000000
96,RP 041323 2,Results,2023-04-13,2023-04-13,2023-04-14,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-13 13:45:47,,,0,0
97,RP 041223 1,Results,2023-04-12,2023-04-12,2023-04-13,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-12 13:16:10,106.0,106.0,2303862000000,2303862000000
98,RP 041223 2,Results,2023-04-12,2023-04-12,2023-04-13,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-12 13:45:48,,,0,0
99,RP 041123 1,Results,2023-04-11,2023-04-11,2023-04-12,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-11 13:16:09,109.0,109.0,2297208000000,2297208000000
100,RP 041123 2,Results,2023-04-11,2023-04-11,2023-04-12,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-11 13:46:15,,,0,0
101,RP 041023 1,Results,2023-04-10,2023-04-10,2023-04-11,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-10 13:16:12,115.0,115.0,2239655000000,2239655000000
102,RP 041023 2,Results,2023-04-10,2023-04-10,2023-04-11,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-10 13:46:06,,,3000000,3000000
103,RP 040623 1,Results,2023-04-06,2023-04-06,2023-04-10,Reverse Repo,Fixed Rate,Same Day,4,Overnight,12:45,13:15,,2023-04-06 13:16:12,105.0,105.0,2173663000000,2173663000000
104,RP 040623 2,Results,2023-04-06,2023-04-06,2023-04-10,Repo,Multiple Price,Same Day,4,Overnight,13:30,13:45,,2023-04-06 13:46:05,,,0,0
105,RP 040523 1,Results,2023-04-05,2023-04-05,2023-04-06,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-05 13:15:58,107.0,107.0,2243011000000,2243011000000
106,RP 040523 2,Results,2023-04-05,2023-04-05,2023-04-06,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-05 13:45:29,,,0,0
107,RP 040423 1,Results,2023-04-04,2023-04-04,2023-04-05,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-04 13:15:47,103.0,103.0,2219375000000,2219375000000
108,RP 040423 2,Results,2023-04-04,2023-04-04,2023-04-05,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-04 13:45:36,,,0,0
109,RP 040323 1,Results,2023-04-03,2023-04-03,2023-04-04,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-04-03 13:16:04,101.0,101.0,2221010000000,2221010000000
110,RP 040323 2,Results,2023-04-03,2023-04-03,2023-04-04,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-04-03 13:45:45,,,1000000,1000000
111,RP 033123 1,Results,2023-03-31,2023-03-31,2023-04-03,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-03-31 13:16:09,108.0,108.0,2375171000000,2375171000000
112,RP 033123 2,Results,2023-03-31,2023-03-31,2023-04-03,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-03-31 13:45:52,,,0,0
113,RP 033023 1,Results,2023-03-30,2023-03-30,2023-03-31,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-30 13:15:47,102.0,102.0,2271531000000,2271531000000
114,RP 033023 2,Results,2023-03-30,2023-03-30,2023-03-31,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-30 13:45:36,,,0,0
115,RP 032923 1,Results,2023-03-29,2023-03-29,2023-03-30,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-29 13:15:50,104.0,104.0,2264862000000,2264862000000
116,RP 032923 2,Results,2023-03-29,2023-03-29,2023-03-30,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-29 13:45:54,,,0,0
