implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
0.5499277835404778,0,23.825,,,,,,,,,,,put,american,2023-08-04,100,27.5,,-0.7453823218848896,0.08404640456484481,-0.017581381921799324,0.020908826342663042,4.3,36,3.05,175,,3.675,,,,,,-0.495,,,
0.5501175814783024,141,24.965,,,1.6881552e+18,,,,,1.54,,,call,american,2023-07-14,100,23.5,,0.6575600521445217,0.15013025694481888,-0.03883266041362288,0.017502395816896558,1.58,75,1.35,11,,1.465,[209],303.0,1.54,1.6881547408461837e+18,1.0,0.645,,,
0.5507373137612597,12,24.55,,,1.6879824e+18,,,,,11.0,,,call,american,2023-10-20,100,13.0,,0.9888724404935587,0.003951796431868688,-0.0027064855434594712,0.004413555199448869,12.05,113,11.05,11,,11.55,[209],313.0,11.0,1.687962106628e+18,1.0,0.23,,,
0.5517790954524442,4,22.585,,,1.6878096e+18,,,,,2.11,,,put,american,2023-08-04,100,24.0,,-0.4274291411527333,0.09841707132447991,-0.022652726021773335,0.02881143189955328,1.74,5,1.09,229,,1.415,[232],308.0,2.11,1.687799312934e+18,1.0,-1.73,,,
0.5525888890840183,399,23.94,,,1.6881552e+18,,,,,1.03,,,put,american,2023-07-07,100,25.0,,-0.6410511777828657,0.22828323520498853,-0.05417511720733665,0.010699932164692828,1.11,22,1.01,136,,1.06,[209],313.0,1.03,1.6881551854870505e+18,1.0,-0.38,,,
0.5558231131893371,5,22.82,,,1.6879824e+18,,,,,1.82,,,put,american,2023-08-04,100,24.5,,-0.47623122439358767,0.09973668121657163,-0.023139468663361234,0.029196532652022777,2.02,10,1.34,271,,1.68,[209],313.0,1.82,1.6879790855733924e+18,1.0,-1.5,,,
0.5584865434769962,53,25.625,,,1.6880688e+18,,,,,11.0,,,call,american,2024-04-19,100,15.0,,0.9028357534888491,0.01420121758147094,-0.005178613886029446,0.03959411889482835,11.15,239,10.1,114,,10.625,[209],313.0,11.0,1.6880501392471588e+18,5.0,1.305,,,
0.5586905151595888,0,24.6,,,,,,,,,,,call,american,2023-10-20,100,14.0,,0.9787000221551516,0.006888298826657298,-0.003576235976132366,0.009297571092508884,11.1,126,10.1,95,,10.6,,,,,,0.28,,,
0.5595444058102851,93,25.225,,,1.6881552e+18,,,,,2.22,,,call,american,2023-07-28,100,23.0,,0.6819108837113,0.0993207549999625,-0.027196510487241362,0.021836463231884738,2.4,105,2.05,11,,2.225,[240],302.0,2.22,1.688154903622585e+18,1.0,0.905,,,
0.5608545730928173,352,24.17,,,1.6881552e+18,,,,,1.81,,,put,american,2023-07-07,100,26.0,,-0.8205939030836686,0.1573713726336086,-0.037091227587729564,0.008327110979416982,1.98,60,1.68,520,,1.83,[232],312.0,1.81,1.6881547589043282e+18,5.0,-0.15,,,
0.561997495269749,788,24.82,,,1.6881552e+18,,,,,1.94,,,call,american,2023-07-14,100,23.0,,0.725833950142414,0.13171134958627184,-0.03590699568718276,0.015101129294971136,2.0,330,1.64,11,,1.82,[209],302.0,1.94,1.6881522358384512e+18,1.0,0.5,,,
