,implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
472,0.3544371389232938,1592,159.765,,,1.6884144e+18,,,,,0.24,,,put,american,2023-08-04,100,160.0,,-0.028985635911164497,0.0033440988916072266,-0.020580768082670186,0.048770863677213123,0.25,1,0.22,7,,0.235,[209],301.0,0.24,1.6884032349602685e+18,1.0,-32.7,,,
350,0.3540499489302895,921,193.225,,,1.6884144e+18,,,,,28.8,,,call,american,2023-07-28,100,165.0,,0.9618655079842549,0.004696264143898648,-0.04930039037619144,0.04413385253537015,28.3,8,28.15,21,,28.225,[209],319.0,28.8,1.6883931176720302e+18,1.0,0.775,,,
1532,0.356689573790012,4991,94.075,,,1.6884144e+18,,,,,0.93,,,put,american,2025-01-17,100,95.0,,-0.02431788822168039,0.0006810044472369512,-0.00368731956592924,0.12494238771338718,0.99,5,0.86,289,,0.925,[232],312.0,0.93,1.6884003062309627e+18,1.0,-98.4,,,
1724,0.34218976031785825,212,93.055,,,1.6881552e+18,,,,,2.0,,,put,american,2025-12-19,100,95.0,,-0.038067197544280285,0.0008227920950300123,-0.0037073299792973165,0.255557097677138,2.16,208,1.73,146,,1.945,[209],312.0,2.0,1.688132333759e+18,1.0,-99.4,,,
1483,0.34183098498097275,193,200.25,,,1.6869456e+18,,,,,88.68,,,call,american,2025-01-17,100,105.0,,0.9588211395827141,0.0009357552583179638,-0.015594594065631321,0.2265894030617788,96.05,30,94.45,30,,95.25,[209],325.0,88.68,1.68693805203e+18,1.0,7.8,,,
1158,0.34138939644284677,0,192.225,,,1.6716564e+18,,,,,139.65,,,put,american,2024-03-15,100,275.0,,-0.9468946668899652,0.005570770345434507,-0.0058933763517639804,0.17225353365218393,84.05,83,81.5,83,,82.775,[209],313.0,139.65,1.671643648962e+18,1.0,-0.225,,,
782,0.3316468969441187,145,195.4,,,1.6881552e+18,,,,,55.7,,,call,american,2023-11-17,100,140.0,,0.9596301831568084,0.0021644887164108625,-0.02767870482533892,0.08796875600799031,55.7,30,55.1,30,,55.4,[232],308.0,55.7,1.688135982015e+18,1.0,2.95,,,
1485,0.3302683359487553,1132,201.725,,,1.6884144e+18,,,,,86.3,,,call,american,2025-01-17,100,115.0,,0.9418552597460446,0.0013346932906055909,-0.018214691685135103,0.2423658416692172,87.15,16,86.3,27,,86.725,[209],313.0,86.3,1.6883962524962156e+18,1.0,9.275,,,
484,0.33024407200181183,0,192.125,,,1.6879824e+18,,,,,31.0,,,put,american,2023-08-04,100,220.0,,-0.9266114051752915,0.010146936936341916,-0.02975487833731759,0.08730579761703887,28.6,81,27.15,7,,27.875,[209],319.0,31.0,1.687960451741e+18,1.0,-0.325,,,
448,0.3296770657808517,120,245.04,,,1.6884144e+18,,,,,0.04,,,call,american,2023-08-04,100,245.0,,0.0066118608692097205,0.0009908603211512626,-0.005619628256198153,0.015325681373615872,0.05,143,0.03,39,,0.04,[209],315.0,0.04,1.6884011310196634e+18,1.0,52.59,,,
644,0.32945157213987536,28317,149.595,,,1.6884144e+18,,,,,0.4,,,put,american,2023-09-15,100,150.0,,-0.03363829296192674,0.002643556320314474,-0.013687851344985853,0.0693001931452591,0.41,100,0.4,10,,0.405,[232],322.0,0.4,1.688403535345186e+18,1.0,-42.9,,,
1379,0.3294482287949212,5,201.2,,,1.685736e+18,,,,,75.0,,,call,american,2024-12-20,100,115.0,,0.944840275439789,0.0013139278027181527,-0.018207072406892056,0.23694931093421903,87.25,50,85.15,50,,86.2,[209],322.0,75.0,1.685714592855e+18,1.0,8.75,,,
1725,0.33200080596276904,484,97.82,,,1.6884144e+18,,,,,2.15,,,put,american,2025-12-19,100,100.0,,-0.04345275976327613,0.0009484653582811593,-0.003958578543587483,0.2657949959516216,2.3,155,2.06,144,,2.18,[209],322.0,2.15,1.6883971105938143e+18,1.0,-94.6,,,
1026,0.32937486504669,30075,129.325,,,1.6884144e+18,,,,,0.68,,,put,american,2024-01-19,100,130.0,,-0.03308194272319569,0.001590792334209729,-0.007864488573437998,0.09879318341962474,0.69,68,0.66,480,,0.675,[209],315.0,0.68,1.6884024604255567e+18,1.0,-63.1,,,
1180,0.3285635499750473,4986,199.825,,,1.6884144e+18,,,,,70.3,,,call,american,2024-06-21,100,130.0,,0.9308576717398003,0.002048151707348442,-0.02412770932395998,0.2209981860142059,70.05,17,69.6,30,,69.825,[227],312.0,70.3,1.6883933752099935e+18,1.0,7.375,,,
832,0.3283893534188089,4965,139.36,,,1.6884144e+18,,,,,0.65,,,put,american,2023-11-17,100,140.0,,-0.03790590083681342,0.0021589544336911865,-0.010808046898955153,0.08810898000918232,0.65,230,0.63,274,,0.64,[209],313.0,0.65,1.6883935845490476e+18,1.0,-53.1,,,
