,Close,High,Open,Low,Volume,Timestamp,RSI
197,4.2595,4.3,4.2826,4.25,1603006.0,1689872400000.0,
198,4.265,4.27,4.255,4.25,1189715.0,1689876000000.0,
199,4.33,4.33,4.265,4.26,4983739.0,1689879600000.0,
200,4.32,4.35,4.32,4.29,1145408.0,1689883200000.0,
201,4.36,4.37,4.3106,4.31,132423.0,1689886800000.0,
202,4.36,4.37,4.3607,4.36,50718.0,1689890400000.0,
203,4.34,4.37,4.36,4.34,63659.0,1689894000000.0,
204,4.33,4.33,4.3,4.3,3094.0,1689926400000.0,
205,4.33,4.35,4.35,4.33,1913.0,1689930000000.0,
206,4.35,4.35,4.32,4.32,881.0,1689933600000.0,
207,4.35,4.35,4.33,4.33,2367.0,1689937200000.0,
208,4.34,4.35,4.3395,4.33,105644.0,1689940800000.0,
209,4.2999,4.365,4.35,4.285,2350037.0,1689944400000.0,
210,4.3598,4.38,4.295,4.295,3570811.0,1689948000000.0,
211,4.405,4.48,4.3531,4.3501,6459892.0,1689951600000.0,
212,4.329,4.41,4.4083,4.31,2550577.0,1689955200000.0,
213,4.375,4.4,4.3201,4.32,2145496.0,1689958800000.0,
214,4.39,4.39,4.375,4.34,1559617.0,1689962400000.0,
215,4.394,4.43,4.3865,4.35,3581012.0,1689966000000.0,
216,7.38,8.8,4.39,4.39,36946774.0,1689969600000.0,
217,7.8,8.0,7.38,7.34,16555281.0,1689973200000.0,
218,7.51,7.84,7.79,7.45,4689179.0,1689976800000.0,
219,7.17,7.53,7.51,7.0,4572075.0,1689980400000.0,
220,6.95,7.18,6.69,5.6,5225639.0,1690185600000.0,
221,7.0,7.6,6.94,6.94,3786603.0,1690189200000.0,
222,6.45,7.1,6.98,6.3,3488623.0,1690192800000.0,
223,6.1,6.54,6.45,5.86,5944536.0,1690196400000.0,
224,6.0,7.41,6.095,5.8515,13233115.0,1690200000000.0,
225,4.975,6.01,6.0,4.87,41857593.0,1690203600000.0,
226,5.565,5.57,4.97,4.96,35640756.0,1690207200000.0,
227,5.7336,5.84,5.5699,5.38,38667947.0,1690210800000.0,
228,5.7342,5.77,5.735,5.52,14571374.0,1690214400000.0,
229,6.105,6.23,5.731,5.72,43116027.0,1690218000000.0,
230,5.93,6.14,6.1036,5.82,20404426.0,1690221600000.0,
231,5.84,5.99,5.92,5.81,18112575.0,1690225200000.0,
232,5.34,7.5892,5.84,5.0,7428051.0,1690228800000.0,
233,5.41,5.45,5.34,5.12,2965652.0,1690232400000.0,
234,5.4,5.45,5.4003,5.33,923546.0,1690236000000.0,
235,5.3,5.41,5.41,5.25,1256865.0,1690239600000.0,
236,5.57,5.74,5.32,5.0,658872.0,1690272000000.0,
237,5.48,5.6,5.56,5.45,114489.0,1690275600000.0,
238,5.49,5.51,5.47,5.39,86033.0,1690279200000.0,
239,5.36,5.5,5.48,5.35,339327.0,1690282800000.0,
240,5.42,5.7294,5.49,5.17,1529171.0,1690286400000.0,
241,5.355,5.48,5.4202,5.17,10978813.0,1690290000000.0,
242,5.2695,5.4,5.355,5.25,8215196.0,1690293600000.0,
243,5.2257,5.275,5.26,5.03,12006809.0,1690297200000.0,
244,5.17,5.27,5.2261,5.125,6735062.0,1690300800000.0,
245,5.25,5.27,5.1794,5.12,4791471.0,1690304400000.0,
246,5.16,5.25,5.25,5.16,3349265.0,1690308000000.0,
247,5.1135,5.18,5.1619,5.06,7283244.0,1690311600000.0,
248,5.1202,5.19,5.12,5.09,966188.0,1690315200000.0,
249,5.0699,5.15,5.12,5.04,721208.0,1690318800000.0,
250,5.09,5.1,5.07,5.06,201732.0,1690322400000.0,
251,5.09,5.1,5.09,5.07,151083.0,1690326000000.0,
252,5.27,5.3,5.13,5.12,128078.0,1690358400000.0,
253,5.24,5.29,5.26,5.23,32441.0,1690362000000.0,
254,5.2,5.24,5.24,5.13,58529.0,1690365600000.0,
255,5.13,5.18,5.17,5.11,67196.0,1690369200000.0,
256,5.16,5.3005,5.17,5.05,500798.0,1690372800000.0,
257,5.165,5.25,5.16,5.12,3774780.0,1690376400000.0,
258,5.0,5.19,5.165,5.0,5778591.0,1690380000000.0,
259,4.93,5.02,5.0,4.91,6384033.0,1690383600000.0,
260,4.9199,4.98,4.94,4.91,2722057.0,1690387200000.0,
261,4.93,4.96,4.92,4.91,2388023.0,1690390800000.0,
262,5.0259,5.07,4.93,4.92,4198357.0,1690394400000.0,
263,5.06,5.09,5.0239,4.97,4243708.0,1690398000000.0,
264,5.08,5.12,5.05,4.99,321778.0,1690401600000.0,
265,5.04,5.1,5.08,5.04,179771.0,1690405200000.0,
266,5.08,5.09,5.04,5.04,81293.0,1690408800000.0,
267,5.08,5.09,5.075,5.06,115603.0,1690412400000.0,
268,5.16,5.17,4.97,4.97,39203.0,1690444800000.0,
269,5.14,5.16,5.16,5.12,17325.0,1690448400000.0,
270,5.13,5.14,5.14,5.1,20923.0,1690452000000.0,
271,5.13,5.15,5.13,5.08,39628.0,1690455600000.0,
272,5.105,5.1585,5.14,5.07,381659.0,1690459200000.0,
273,5.045,5.15,5.1,5.01,3313812.0,1690462800000.0,
274,4.93,5.12,5.05,4.9235,4921432.0,1690466400000.0,
275,4.7713,4.95,4.93,4.77,6809344.0,1690470000000.0,
276,4.575,4.78,4.7705,4.56,8619758.0,1690473600000.0,
277,4.6299,4.65,4.58,4.57,3895906.0,1690477200000.0,
278,4.5467,4.6299,4.625,4.51,5523735.0,1690480800000.0,
279,4.5243,4.55,4.54,4.52,5405209.0,1690484400000.0,
280,4.61,4.7,4.53,4.51,2611099.0,1690488000000.0,
281,4.6,4.61,4.6,4.57,143561.0,1690491600000.0,
282,4.57,4.6,4.5999,4.51,319490.0,1690495200000.0,
283,4.5904,4.6,4.56,4.55,151297.0,1690498800000.0,
284,4.65,4.67,4.63,4.61,43422.0,1690531200000.0,
285,4.65,4.65,4.65,4.63,18986.0,1690534800000.0,
286,4.66,4.66,4.64,4.63,40805.0,1690538400000.0,
287,4.66,4.66,4.66,4.61,57464.0,1690542000000.0,
288,4.66,4.71,4.66,4.6,346357.0,1690545600000.0,
289,4.54,4.7,4.66,4.52,3683604.0,1690549200000.0,
290,4.6099,4.61,4.54,4.52,4632821.0,1690552800000.0,
291,4.59,4.64,4.6038,4.58,2552593.0,1690556400000.0,
292,4.57,4.63,4.585,4.56,2827657.0,1690560000000.0,
293,4.555,4.58,4.5712,4.54,2231691.0,1690563600000.0,
294,4.6169,4.64,4.56,4.551,2165764.0,1690567200000.0,
295,4.64,4.66,4.6194,4.61,3362237.0,1690570800000.0,
296,4.63,4.65,4.65,4.62,2484633.0,1690574400000.0,
297,4.62,4.63,4.63,4.61,90939.0,1690578000000.0,
298,4.63,4.63,4.63,4.61,74619.0,1690581600000.0,
299,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,
1688169600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,48.524234817650594
1688371200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,53.01443704336156
1688374800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,51.79796952366134
1688378400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,51.79796952366134
1688382000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,51.79796952366134
1688385600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,48.98996661823457
1688389200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,65.01361785741409
1688392800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,70.05592753619422
1688396400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,58.44177497444912
1688400000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,58.809475834219306
1688403600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,57.70970750909558
1688407200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,57.70970750909557
1688410800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,57.70970750909558
1688414400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.134221521957116
1688418000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.13422152195712
1688421600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.13422152195712
1688425200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.134221521957116
1688428800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.134221521957116
1688544000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,53.40794791452575
1688547600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,51.665834147490344
1688551200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,58.88695979762549
1688554800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,53.7027438519429
1688558400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.12105025632753
1688562000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,40.44381402537499
1688565600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,46.59708488418711
1688569200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,40.553536431159344
1688572800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,40.08071010584831
1688576400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,36.84250200205371
1688580000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,42.81327429264286
1688583600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,37.61586526408731
1688587200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,41.6320525500646
1688590800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,38.93281974452963
1688594400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,38.887565771664285
1688598000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,37.07747523844748
1688601600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,37.07747523844748
1688630400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,43.350543749893994
1688634000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,46.23666630094694
1688637600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,41.66471005460769
1688641200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,41.664710054607696
1688644800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,40.503482603044084
1688648400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,40.503482603044084
1688652000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,46.550359530923714
1688655600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,44.934390911915834
1688659200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,41.745264013618694
1688662800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,49.89366519073018
1688666400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,49.15324535423341
1688670000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,50.72812160981014
1688673600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,51.536386431313765
1688677200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,53.19027162083801
1688680800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,51.304748712790335
1688684400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,54.75894496331982
1688688000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,54.75894496331982
1688716800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,54.75894496331982
1688720400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,54.75894496331982
1688724000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,49.98939892295455
1688727600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,49.98939892295454
1688731200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,54.64020727489145
1688734800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,49.666142017070925
1688738400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,40.79956765406063
1688742000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,45.45986679219884
1688745600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,48.74076439681459
1688749200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,40.11775979635648
1688752800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,37.95280714721462
1688756400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,34.60131809987611
1688760000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,39.35368754534901
1688763600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,36.43330535210417
1688767200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,33.92752350859614
1688770800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,33.92752350859615
1688774400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,33.92752350859615
1688976000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,32.49601406564115
1688979600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,32.496014065641134
1688983200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,30.980034587992577
1688986800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,25.796075731093254
1688990400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,41.58578504080001
1688994000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.9017586691415
1688997600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,56.536059180459226
1689001200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,47.900541689960875
1689004800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,47.190981555728165
1689008400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,47.59228228632442
1689012000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,48.933087298671964
1689015600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,52.32765100838937
1689019200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,53.98301729821896
1689022800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,53.98301729821896
1689026400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,49.959164504331525
1689030000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.337013809754836
1689033600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.33701380975483
1689062400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.33701380975483
1689066000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,57.24975192003633
1689069600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,54.72578067307955
1689073200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,56.77789427381699
1689076800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,60.62218901376649
1689080400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,71.02851565759113
1689084000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,72.08768443551047
1689087600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,70.69598999686713
1689091200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,67.87371632594156
1689094800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,63.76183036283928
1689098400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,64.53313451464345
1689102000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,68.82114216016805
1689105600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,72.41302021068856
1689109200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,56.030849975402
1689112800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,58.95846510300361
1689116400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,56.98451088796264
1689120000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,56.98451088796264
1689148800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,61.472505204973956
1689152400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,62.86339604696626
1689156000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,66.74239119084997
1689159600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,62.0864518317142
1689163200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,66.94175928391623
1689166800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,61.6971584820586
1689170400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,53.30016153916422
1689174000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,52.446051544816086
1689177600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,53.2527770328927
1689181200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,62.224526677421906
1689184800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,60.306918837292855
1689188400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.68658385850865
1689192000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,57.102327838813984
1689195600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,58.529173079556074
1689199200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,58.529173079556074
1689202800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,60.069514870780125
1689206400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,60.069514870780125
1689235200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,60.069514870780125
1689238800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,63.45975102692668
1689242400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,58.143435629424985
1689246000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,58.14343562942498
1689249600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,60.08259731006431
1689253200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.8991743277173
1689256800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,59.907555689209595
1689260400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,67.14371298267825
1689264000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,67.83829995763283
1689267600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,52.34589565395635
1689271200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,50.43749861857595
1689274800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,54.045978592095736
1689278400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.77957762784417
1689282000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,55.77957762784417
1689285600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,57.6331955075254
1689289200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,59.56789800496976
1689292800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,59.56789800496977
1689321600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,63.140638877696105
1689325200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,60.18827392929651
1689328800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,60.1882739292965
1689332400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,62.23616354385137
1689336000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,62.23616354385136
1689339600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,53.19221934743305
1689343200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,32.44008434492575
1689346800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,35.9072424593076
1689350400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,32.60371614668206
