,auctionStatus,operationId,operationDate,operationType,operationDirection,method,releaseTime,closeTime,classType,note,totalSubmittedOrigFace,totalAcceptedOrigFace,totalSubmittedCurrFace,totalAcceptedCurrFace,totalAmtSubmittedPar,totalAmtAcceptedPar,settlementDate,lastUpdated
76,Results,OR 061422 1,2022-06-14,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,4536000000,920000000,2022-07-14,2022-06-14 11:50:55
77,Results,RL 061322 1,2022-06-13,Dollar Roll,,,,,,,,,,,,900000000,,2022-06-13 16:14:52
78,Results,OR 061322 1,2022-06-13,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,3440000000,584000000,2022-07-21,2022-06-13 10:20:36
79,Results,OR 061322 2,2022-06-13,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,4530000000,1122000000,2022-07-14,2022-06-13 11:50:49
80,Results,OR 061022 1,2022-06-10,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,5005000000,1125000000,2022-07-14,2022-06-10 10:20:51
81,Results,OR 061022 2,2022-06-10,Outright TBA Purchase,P,Multiple Price,11:30,11:50,C,,,,,,3330000000,586000000,2022-07-21,2022-06-10 11:50:47
82,Results,OR 060922 1,2022-06-09,Outright TBA Purchase,P,Multiple Price,11:30,11:50,B,,,,,,1418000000,544000000,2022-07-18,2022-06-09 11:51:42
83,Results,OR 060922 2,2022-06-09,Outright TBA Purchase,P,Multiple Price,13:00,13:20,A,,,,,,3562000000,1125000000,2022-07-14,2022-06-09 13:20:45
84,Results,RL 060822 1,2022-06-08,Dollar Roll,,,,,,,,,,,,4000000000,,2022-06-08 16:12:47
85,Results,OR 060822 1,2022-06-08,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,3543000000,1125000000,2022-07-14,2022-06-08 10:20:47
86,Results,OR 060822 2,2022-06-08,Outright TBA Purchase,P,Multiple Price,11:30,11:50,C,,,,,,3135000000,586000000,2022-07-21,2022-06-08 11:50:40
87,Results,OR 060822 3,2022-06-08,Outright Specified Pool Sale,S,Multiple Price,14:00,14:30,C,,1241000000,112389413,892684192.72,81000000.41168416,,,2022-06-22,2022-06-08 14:30:43
88,Results,OR 060722 1,2022-06-07,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,2889000000,1125000000,2022-07-14,2022-06-07 10:20:35
89,Results,OR 060722 2,2022-06-07,Outright TBA Purchase,P,Multiple Price,11:30,11:50,B,,,,,,1476000000,543000000,2022-07-18,2022-06-07 11:50:30
90,Results,OR 060722 3,2022-06-07,Outright Specified Pool Sale,S,Multiple Price,14:00,14:30,A,,883000000,89929842,799494732.54,80999999.55743648,,,2022-06-13,2022-06-07 14:30:58
91,Results,OR 060622 1,2022-06-06,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,2808000000,586000000,2022-07-21,2022-06-06 10:21:01
92,Results,OR 060622 2,2022-06-06,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,4810000000,1125000000,2022-07-14,2022-06-06 11:50:41
93,Results,OR 060322 1,2022-06-03,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,3088000000,586000000,2022-07-21,2022-06-03 10:20:46
94,Results,OR 060322 2,2022-06-03,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,3661000000,1125000000,2022-07-14,2022-06-03 11:50:36
95,Results,SW 060222 1,2022-06-02,Coupon Swap,,,,,,,,,,,,20000000,,2022-06-02 16:10:17
96,Results,OR 060222 1,2022-06-02,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,4352000000,1125000000,2022-07-14,2022-06-02 10:20:42
97,Results,OR 060222 2,2022-06-02,Outright TBA Purchase,P,Multiple Price,11:30,11:50,C,,,,,,3498000000,586000000,2022-07-21,2022-06-02 11:50:41
98,Results,OR 060122 1,2022-06-01,Outright TBA Purchase,P,Multiple Price,10:00,10:20,B,,,,,,1929000000,543000000,2022-07-18,2022-06-01 10:21:00
99,Results,OR 060122 2,2022-06-01,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,3933000000,1125000000,2022-07-14,2022-06-01 11:50:50
